"longitude","latitude","Al","Ca","Fe","K","Mg","Na","Ti","Be","Ce","Co","Cr","Cu","Ga","La","Li","Mo","Nb","Ni","Rb","Sc","Sn","Th","Tl","U","V","W","Y"
-108.59914,40.99933,0.614,0.416,0.313,0.192,0.073,0.042,0.018,1.9,70.8,11.9,46,20.9,14.5,33.9,34,1.29,9.4,22.4,110,8.2,1.7,12.3,0.7,2.3,83,1,18.6
-102.51758,40.99054,0.571,0.126,0.154,0.257,0.047,0.12,0.018,2.1,60.5,5,22,10,11.6,33.8,18,0.68,10,8.7,97,5.3,1.3,10.8,0.6,1.9,42,0.8,16.8
-102.3801,41.00214,0.56,0.171,0.152,0.237,0.051,0.134,0.02,1.9,57,4.4,23,14.4,12.4,34.2,19,0.75,11.2,8.7,90.4,5.6,1.5,9.9,0.6,2.6,41,1,17.4
-108.84734,40.92621,0.349,0.076,0.116,0.14,0.036,0.054,0.013,1,31.7,3.8,22,11.7,7.71,17.5,15,0.82,5,8.7,56.5,3.8,0.9,7.1,0.3,1.6,34,0.5,10.4
-107.71602,40.97169,0.486,0.06,0.117,0.209,0.032,0.102,0.013,1.2,69.1,4.9,24,8.9,9.91,33.3,14,0.6,5.8,9.4,92.4,3.8,0.8,12.6,0.6,2.1,34,0.4,11.5
-105.53609,40.98311,0.639,0.123,0.318,0.288,0.034,0.192,0.03,2.3,79.3,6.1,18,12.4,18.3,34.2,20,1.08,21.4,8.6,86.4,9.6,2.4,8.5,0.5,2.4,29,1.2,38.3
-104.04816,40.97345,0.582,0.131,0.218,0.268,0.074,0.115,0.023,2,76.4,7.4,31,15.9,14.3,39.3,30,0.97,11.4,13.5,106,7.3,1.5,12.7,0.7,3,59,0.9,21.6
-103.38132,40.96439,0.508,0.246,0.131,0.202,0.052,0.094,0.013,1.8,57.9,5,15,11.1,11.5,31.8,21,0.95,8.6,8.2,97.4,5.2,1.3,10.6,0.7,2.4,34,1.1,13.7
-103.02085,40.96441,0.537,0.104,0.177,0.249,0.046,0.122,0.019,1.7,70.3,5.7,24,11.2,13.5,38.3,18,0.73,10.2,9.5,104,6.7,1.4,12.3,0.6,2.6,47,0.9,18
-108.7467,40.88977,0.303,0.387,0.119,0.124,0.089,0.045,0.011,0.8,35.9,3.7,19,6.3,6.65,21.5,18,0.61,3.4,8.5,42.4,3.2,0.6,5.7,0.3,1.2,37,0.7,7.7
